timestamp,message
1770599811877,Watchtower enabled: CloudWatch logging active
1770599811888,Starting app on port 80
1770599921657,Retrieved credentials from Secrets Manager
1770599921826,Database initialized successfully
1770600319746,Retrieved credentials from Secrets Manager
1770600319769,"Error in /init: (1045, ""Access denied for user 'admin'@'10.240.2.96' (using password: YES)"")
Traceback (most recent call last):
  File ""/opt/rdsapp/app.py"", line 77, in init_db
    conn = pymysql.connect(
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 365, in __init__
    self.connect()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 681, in connect
    self._request_authentication()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 980, in _request_authentication
    auth_packet = _auth.caching_sha2_password_auth(self, auth_packet)
  File ""/usr/local/lib/python3.9/site-packages/pymysql/_auth.py"", line 272, in caching_sha2_password_auth
    pkt = _roundtrip(conn, data)
  File ""/usr/local/lib/python3.9/site-packages/pymysql/_auth.py"", line 121, in _roundtrip
    pkt = conn._read_packet()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 782, in _read_packet
    packet.raise_for_error()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/protocol.py"", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
  File ""/usr/local/lib/python3.9/site-packages/pymysql/err.py"", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.OperationalError: (1045, ""Access denied for user 'admin'@'10.240.2.96' (using password: YES)"")"
1770600321886,Retrieved credentials from Secrets Manager
1770600321896,"Error in /init: (1045, ""Access denied for user 'admin'@'10.240.2.96' (using password: YES)"")
Traceback (most recent call last):
  File ""/opt/rdsapp/app.py"", line 77, in init_db
    conn = pymysql.connect(
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 365, in __init__
    self.connect()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 681, in connect
    self._request_authentication()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 980, in _request_authentication
    auth_packet = _auth.caching_sha2_password_auth(self, auth_packet)
  File ""/usr/local/lib/python3.9/site-packages/pymysql/_auth.py"", line 272, in caching_sha2_password_auth
    pkt = _roundtrip(conn, data)
  File ""/usr/local/lib/python3.9/site-packages/pymysql/_auth.py"", line 121, in _roundtrip
    pkt = conn._read_packet()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 782, in _read_packet
    packet.raise_for_error()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/protocol.py"", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
  File ""/usr/local/lib/python3.9/site-packages/pymysql/err.py"", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.OperationalError: (1045, ""Access denied for user 'admin'@'10.240.2.96' (using password: YES)"")"
1770600322618,Retrieved credentials from Secrets Manager
1770600322628,"Error in /init: (1045, ""Access denied for user 'admin'@'10.240.2.96' (using password: YES)"")
Traceback (most recent call last):
  File ""/opt/rdsapp/app.py"", line 77, in init_db
    conn = pymysql.connect(
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 365, in __init__
    self.connect()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 681, in connect
    self._request_authentication()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 980, in _request_authentication
    auth_packet = _auth.caching_sha2_password_auth(self, auth_packet)
  File ""/usr/local/lib/python3.9/site-packages/pymysql/_auth.py"", line 272, in caching_sha2_password_auth
    pkt = _roundtrip(conn, data)
  File ""/usr/local/lib/python3.9/site-packages/pymysql/_auth.py"", line 121, in _roundtrip
    pkt = conn._read_packet()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/connections.py"", line 782, in _read_packet
    packet.raise_for_error()
  File ""/usr/local/lib/python3.9/site-packages/pymysql/protocol.py"", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
  File ""/usr/local/lib/python3.9/site-packages/pymysql/err.py"", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.OperationalError: (1045, ""Access denied for user 'admin'@'10.240.2.96' (using password: YES)"")"
1770600323361,Retrieved credentials from Secrets Manager
